Município,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
240930 PATU,,380,384,404,457,532,587,383,400,341,226,161,171,138,87,109,101,114,87,147,129,116,113,95,66,73,49,5850
240933 SANTA MARIA,,,,2,,2,3,,,1,,,,,,,,,,,,,,2,,,,10
240940 PAU DOS FERROS,4,839,1571,1446,1334,1367,1632,1608,1751,1723,1716,1654,1689,1638,1724,1736,1784,1819,1872,1814,2064,2132,1886,2063,2090,1929,2008,44893
240950 PEDRA GRANDE,1,55,40,63,89,62,32,45,50,31,27,29,11,10,3,8,8,3,,,,,,,,1,,568
240960 PEDRA PRETA,,,,,,1,,,,,,1,,,,,,,,2,,,,,1,,1,6
240970 PEDRO AVELINO,,171,137,146,129,79,87,118,75,55,57,53,19,20,6,27,9,13,4,9,,2,1,,,1,,1218
240980 PEDRO VELHO,149,22,6,63,60,117,141,192,215,178,101,52,58,34,72,53,44,43,24,18,7,7,10,3,5,2,4,1680
240990 PENDENCIAS,,7,,3,4,,,2,2,,,,5,6,2,20,6,4,4,3,,2,3,1,2,1,4,81
241000 PILOES,,,2,13,16,22,10,9,26,18,14,17,10,5,2,2,,,,,,,,,,1,,167
241010 POCO BRANCO,,139,134,176,143,108,73,161,182,120,40,112,99,51,3,10,24,34,19,5,11,4,8,4,4,1,,1665
241020 PORTALEGRE,,50,58,61,39,81,63,45,49,39,58,47,30,26,9,18,5,1,4,1,,4,1,1,1,12,9,712
241025 PORTO DO MANGUE,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,2
241030 SERRA CAIADA,,64,72,74,81,54,42,97,147,151,153,100,108,85,78,86,47,28,1,6,3,6,5,2,1,,6,1497
241040 PUREZA,1,17,11,,40,70,56,34,35,13,8,18,,3,,,2,,1,,,,,,,1,,310
241050 RAFAEL FERNANDES,,1,,,3,1,,,,1,,1,1,,,,,,,,,,,,,,,8
241060 RAFAEL GODEIRO,,3,9,60,40,35,20,11,3,2,,10,,,,3,14,1,6,3,18,26,8,11,8,2,59,352
241070 RIACHO DA CRUZ,,24,24,25,36,24,10,22,30,36,50,30,20,18,7,22,17,17,8,14,7,3,1,,,,,445
241080 RIACHO DE SANTANA,,1,8,23,20,27,25,13,26,24,18,4,2,2,1,,,,,,,,,,,,,194
241090 RIACHUELO,,,,,1,2,,,2,,1,,,,,,,,,,1,,,,,,2,9
241100 RODOLFO FERNANDES,,111,128,86,109,86,96,62,76,73,79,66,8,43,19,19,20,26,10,4,5,1,1,1,2,,1,1132
241105 TIBAU,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,3
241110 RUY BARBOSA,,61,40,44,21,5,19,14,12,17,18,26,17,14,15,17,3,7,18,11,12,6,9,10,1,,,417
241120 SANTA CRUZ,9,1272,1234,1127,1153,941,894,1273,1303,1208,1225,1144,1190,1201,1302,1215,1211,1262,1327,1725,2057,2037,2325,2809,3076,2791,2668,40979
241140 SANTANA DO MATOS,1,263,207,240,209,211,181,155,166,148,153,176,174,181,116,106,76,83,63,63,32,27,13,5,26,12,7,3094
241142 SANTANA DO SERIDO,,,,,,1,1,,,,,,1,11,8,16,12,13,6,3,4,9,4,,,1,,90
241150 SANTO ANTONIO,996,896,654,1052,1388,1132,1310,801,857,928,516,751,592,824,757,1172,890,1070,884,1138,1009,663,399,303,376,319,103,21780
241160 SAO BENTO DO NORTE,,187,114,160,85,122,87,104,95,73,46,28,12,,,,,1,,,,1,,,2,2,,1119
241170 SAO BENTO DO TRAIRI,,,1,3,2,7,16,15,15,8,3,4,9,1,,3,1,5,1,1,,,,,1,1,1,98
241180 SAO FERNANDO,,1,,1,1,1,2,,,,1,2,,,,,,,1,,,2,,1,,,,13
241190 SAO FRANCISCO DO OESTE,,1,,3,,,,,,,,,,1,,,,,,,,,,,,,,5
241200 SAO GONCALO DO AMARANTE,346,433,539,666,501,718,547,647,721,991,1105,1246,1345,1794,1922,1444,1342,1365,1254,1384,1241,801,747,721,788,761,547,25916
241210 SAO JOAO DO SABUGI,,28,15,13,13,6,20,3,5,6,1,55,30,24,29,,1,1,,,,,,,,,,250
